PC1,PC2,classe,conjunto
-2.7545236520437784,-0.9879363727909095,ok,treino
-1.5551631578174634,-0.9224838310308644,ok,treino
1.5702651364318019,2.1017106023482657,defeituoso,treino
2.4826610125854285,3.6847677190631187,defeituoso,treino
-2.4462609638350536,-0.5477930130446282,ok,treino
-2.0788011938691815,-1.3104550083801347,ok,treino
-3.2841057154503805,-1.1310788981547863,ok,treino
-2.2650895523887633,0.00974030454551176,ok,treino
-1.9138053394445103,-0.10736184136190345,ok,treino
1.179194517315772,2.3777307993844405,defeituoso,treino
0.09506942792792353,1.6118655570880385,defeituoso,treino
1.095891746462778,2.5147812009576898,defeituoso,treino
-1.6463646946703694,-0.3135220881219828,ok,treino
2.032589135547987,1.6646683541280696,defeituoso,treino
3.6518012175672485,3.771160067802096,defeituoso,treino
-2.407690107708565,-0.428515644289744,ok,treino
-0.18867329651525608,1.4436403751336166,ok,treino
0.470726811244814,0.9448049136153304,ok,treino
0.8421727913102521,0.9781808051404309,defeituoso,validacao
-0.012841407287402523,0.04002567986053304,ok,validacao
2.1048423338793585,3.028094845078121,defeituoso,validacao
2.198552219119021,3.063957704311003,defeituoso,validacao
1.8885605422775589,3.169054378975607,defeituoso,validacao
-1.6731454776355683,-0.711649579617394,ok,validacao
-3.2434078281378556,-1.3782165643156181,ok,validacao
-2.5354716722694017,-0.18155455612945706,ok,validacao
-2.3461187693686134,-0.78557076677851,ok,validacao
-3.1153987452515457,-1.3777860280744598,ok,validacao
0.4190503764989816,1.3752296551852896,ok,validacao
-1.8083723557788651,0.168720542406635,ok,validacao
-2.0017595827814643,-0.392638762942437,ok,validacao
2.118092773994599,3.298609668513759,defeituoso,validacao
-4.212967106228276,-2.2821263654259103,ok,validacao
2.587389480016358,-3.9802066602694888,ok,validacao
-1.5234966092457585,1.462947961011952,defeituoso,validacao
1.6445736172048735,1.729461245465523,defeituoso,validacao
0.6440417396763877,2.184189912445805,defeituoso,validacao
-1.5162456671815787,0.1881670783893148,ok,validacao
3.5497925707984574,-4.2328071596878125,ok,validacao
-1.8342182051079112,0.27966832706978123,ok,validacao
0.345785617387613,1.7940836022920377,defeituoso,validacao
-2.396924667479582,-2.1048661496983687,ok,validacao
